,Alternaria alternata,Alternaria destruens,Aspergillus versicolor,Aureobasidium pullulans,Botryozyma americana,Botryozyma mucatilis,Botryozyma nematodophila,Brettanomyces bruxellensis,Candida apicola,Candida bohioensis,Candida jiufengensis,Candida parapsilosis,Candida pseudojiufengensis,Candida sithepensis,Candida solani,Ceratobasidium ramicola,Cladosporium allii,Cladosporium cucumerinum,Cladosporium echinulatum,Cladosporium grevilleae,Cladosporium herbarum,Cladosporium macrocarpum,Cladosporium phaenocomae,Cladosporium phlei,Cladosporium ramotenellum,Cladosporium soldanellae,Cladosporium tenuissimum,Cladosporium variabile,Clavispora reshetovae,Cutaneotrichosporon moniliiforme,Cystobasidiopsis lophatheri,Epicoccum brasiliense,Filobasidium magnum,Ganoderma destructans,Gelasinospora tetrasperma,Hebeloma angustisporium,Humicola nigrescens,Kazachstania aquatica,Kazachstania kunashirensis,Kazachstania martiniae,Kazachstania siamensis,Kurtzmaniella cleridarum,Lachancea quebecensis,Lodderomyces elongisporus,Malassezia globosa,Malassezia restricta,Mrakia frigida,Mucor circinelloides,Nematodospora valgi,Neurospora terricola,Ogataea chonburiensis,Ogataea nitratoaversa,Ogataea pilisensis,Ogataea wickerhamii,Papiliotrema aurea,Paraphaeosphaeria sardoa,Penicillium cravenianum,Penicillium crustosum,Penicillium fusisporum,Penicillium kongii,Pichia fermentans,Pichia kudriavzevii,Pichia membranifaciens,Priceomyces fermenticarens,Priceomyces melissophilus,Rhizopus sexualis,Rhodotorula mucilaginosa,Roccella elisabethae,Saccharomyces bayanus,Saccharomyces cariocanus,Saccharomyces cerevisiae,Saccharomyces eubayanus,Saccharomyces kudriavzevii,Saccharomyces mikatae,Saccharomyces paradoxus,Saccharomyces pastorianus,Saccharomycodes ludwigii,Sporidiobolus metaroseus,Sporopachydermia lactativora,Thelebolus globosus,Thermomyces lanuginosus,Trichoderma atroviride,Trichoderma neokoningii,Truncospora macrospora,Typhula maritima,Vishniacozyma carnescens,Wallemia muriae,Wickerhamomyces anomalus
Ambree_des_Brigands_du_Jorat,14,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,10,391,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,51,528,609839,44,1813,30095,551,49,0,0,0,0,0,0,0,0,0,0,0,0
Bieraria_Tschlin_BE,10,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,498,619541,43,1085,16674,465,43,65,0,0,0,0,0,0,0,0,0,0,0
Brasserie_dAyent_Celsius_Folamour,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,547,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,822,615359,37,849,13924,1064,35,31,0,0,0,0,0,0,0,0,0,0,0
Brasserie_des_5_quatre_mille_Biere_de_Zinal,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,32,484,582485,39,909,14241,466,25,26,0,0,0,0,0,0,0,0,0,0,0
Brasserie_du_Griffon_La_Fourbe,45,36,10,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,93,251,363837,25,679,11283,236,110,59,0,0,0,0,0,0,0,0,0,0,0
Brasserie_du_Vieux_Chemin_La_Prudencia,0,17,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,26,360,435831,21,1016,14391,395,27,28,0,0,0,0,0,0,0,0,0,0,100
Brasserie_DuPont_BioLegere,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,29,344,465984,20,1019,14875,324,34,0,0,0,0,0,0,0,0,0,0,0,0
Brasserie_Gessienne_Blanche,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,184,372087,10,308,6047,192,20,0,0,0,0,0,0,0,0,0,0,0,0
Brasserie_Sierrvoise_Noire,17,21,12,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,58,0,0,0,0,0,652,307,330012,74,1023,18494,279,612,0,0,0,0,0,0,0,0,0,0,0,0
Brasserie_Tardiv,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,369,560618,95,930,19769,363,1012,23,0,0,0,0,0,0,0,0,0,0,0
Brasseurs_de_Volleges_La_Tourbillon,11,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,385,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,36,606,404668,20,798,9689,783,38,35,0,0,0,0,0,0,0,0,0,53,22
Calvinus_Blanche,15,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,26,316,458598,32,710,12392,296,22,0,0,0,0,0,0,0,0,0,0,0,0
Chimay_Red_Cap,54,47,0,12,0,0,0,158,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,12,13,14,18,0,0,0,17,698,0,34,0,0,24,63,0,0,0,14,0,0,0,0,0,0,0,24,15,0,0,16,0,0,0,0,18,0,14,205,546183,12,282,3496,206,11,0,14,0,0,0,0,0,0,0,0,0,0
Chimay_Tripel,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,319,578629,24,668,5086,322,26,0,0,0,0,0,0,0,0,0,0,0,0
Coudres_Blonde,13,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3854,699,592725,309,2143,44553,730,3690,63,0,0,0,0,0,0,0,0,0,0,0
Coudres_Pale_Ale,10,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68026,0,0,0,0,10,37,1260,345432,54,1035,12821,1497,43,14,0,0,0,0,0,0,0,0,0,0,80
Delirium_Tremens,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,921,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,316,618714,20,560,5381,260,28,17,0,0,0,0,0,0,0,0,0,0,0
Docteur_Gabs_Houleuse,0,14,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,53,1858,647070,43,2004,25919,2341,52,0,0,0,0,0,0,0,0,0,0,0,0
Docteur_Gabs_Pepite,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,19,372,587427,15,699,6668,373,22,0,0,0,0,0,0,0,0,0,0,0,0
Docteur_Gabs_Tempete,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,275,639011,15,365,3765,259,13,0,0,0,0,0,0,0,0,0,0,0,0
Hackuarium_Fakufaku,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,274,475056,26,613,11827,294,25,12,0,0,0,0,0,0,0,0,0,0,0
Homebrew_Amber_Ale,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,32,309,561199,38,763,14976,347,32,0,0,0,0,0,0,0,0,0,0,18,0
Homebrew_Roter_Baron,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,27,1353,328933,31,1145,15822,1799,27,0,0,0,0,0,0,0,0,0,0,0,0
Homebrew_SquareBeer,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,260,411468,15,554,8060,239,17,0,0,0,0,0,0,0,0,0,0,0,0
Hoppy_Couple,23,41,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,18,0,25,11,0,10,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,33,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,389,598629,53,968,8766,375,66,0,0,0,0,0,0,0,0,0,0,0,0
La_cotta_bionda,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,26,677,657767,37,1240,19042,777,42,88,0,0,0,0,0,0,0,0,0,0,0
La_Montheysanne,35,37,21,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,43,276,364568,32,846,14614,284,41,0,0,0,11,0,0,0,0,0,0,0,18
La_Mule_Browney,12,12,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,16,194,396829,18,252,3134,212,0,0,0,0,0,0,0,0,0,0,0,0,0
La_Nebuleuse_ChichaBeer_experimental,0,0,0,0,14,19,12,102666,0,10,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17,15,31,699,10,0,13,21,0,0,0,0,18,0,10,0,0,23,0,0,0,0,0,0,0,0,12,10,0,0,0,0,40,2048,520054,40,825,5407,2275,46,34238,0,19,0,0,0,0,0,0,0,0,0
La_Nebuleuse_Embuscade,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,503,546753,64,1973,40562,558,54,11,0,0,0,0,0,0,0,0,0,0,0
La_Nebuleuse_Malt_Capone,0,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,742,614154,42,1088,18176,926,31,0,0,0,0,0,0,0,0,0,0,0,0
La_Nebuleuse_Stirling,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,684,1621,637328,98,2110,35034,1914,690,18,0,0,0,0,0,0,0,0,0,0,0
La_Salamandre,0,10,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,32,1573,627111,37,1200,7907,1871,34,11,0,0,0,0,0,0,0,0,0,0,0
Les_Muraille_Pieuse,12,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,292,375986,23,755,12062,286,25,46,0,0,0,0,0,0,0,0,0,0,0
Mateo_21,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,220,382249,23,451,8540,235,16,0,0,0,0,0,0,0,0,0,0,0,0
Orval,0,0,0,0,0,0,10,453555,52,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,21,0,0,0,0,0,0,0,27,10,203,0,0,0,0,0,0,0,0,0,18,20,0,0,0,85,2754,58604,79,849,3076,2786,80,129,0,0,0,0,0,0,0,0,0,0,0
Trois_Dames,0,10,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,1634,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,22,33,10,0,0,206,1923,2467312,201,6567,116304,1986,207,44,0,0,0,0,0,0,0,0,0,0,0
Valaisanne_Amrich,18,16,0,0,0,0,0,24,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,14,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,15,259,357000,18,581,8752,289,16,10,0,0,0,0,0,0,0,0,0,0,10
Waldbier_2014_Wienerwald,248,243,0,32,0,0,0,38,0,0,0,0,0,0,0,20,24,13,19,16,18,16,0,19,53,15,0,29,0,0,0,23,64,0,0,22,0,0,0,468,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,64,0,0,0,0,0,0,0,0,0,0,0,0,547,248,323396,55,937,18693,259,580,0,16,0,0,18,10,14,24,20,14,0,0
